------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 15:20:00
Start Date 10/4/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:24:19
Download Date 10/4/2023
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
10/4/2023 15:20:00.000,-0.074,-0.027,1.027
10/4/2023 15:20:00.010,-0.039,-0.027,1.047
10/4/2023 15:20:00.020,-0.023,-0.031,1.043
10/4/2023 15:20:00.030,-0.027,-0.031,1.047
10/4/2023 15:20:00.040,-0.027,-0.047,1.039
10/4/2023 15:20:00.050,-0.023,-0.059,1.031
10/4/2023 15:20:00.060,-0.012,-0.074,1.027
10/4/2023 15:20:00.070,0.004,-0.102,1.004
10/4/2023 15:20:00.080,0.008,-0.148,0.957
10/4/2023 15:20:00.090,0.016,-0.211,0.895
10/4/2023 15:20:00.100,-0.004,-0.285,0.832
10/4/2023 15:20:00.110,-0.031,-0.328,0.789
10/4/2023 15:20:00.120,-0.039,-0.344,0.738
10/4/2023 15:20:00.130,-0.023,-0.375,0.664
10/4/2023 15:20:00.140,-0.031,-0.441,0.598
10/4/2023 15:20:00.150,-0.055,-0.52,0.539
10/4/2023 15:20:00.160,-0.09,-0.582,0.457
10/4/2023 15:20:00.170,-0.09,-0.602,0.367
10/4/2023 15:20:00.180,-0.047,-0.598,0.289
10/4/2023 15:20:00.190,0.023,-0.574,0.207
10/4/2023 15:20:00.200,0.098,-0.543,0.125
10/4/2023 15:20:00.210,0.172,-0.512,0.051
10/4/2023 15:20:00.220,0.266,-0.477,-0.023
10/4/2023 15:20:00.230,0.395,-0.445,-0.059
10/4/2023 15:20:00.240,0.57,-0.418,-0.039
10/4/2023 15:20:00.250,0.766,-0.395,-0.016
10/4/2023 15:20:00.260,0.953,-0.324,-0.039
10/4/2023 15:20:00.270,1.141,-0.203,-0.078
10/4/2023 15:20:00.280,1.316,-0.09,-0.113
10/4/2023 15:20:00.290,1.473,-0.027,-0.141
10/4/2023 15:20:00.300,1.629,0,-0.152
10/4/2023 15:20:00.310,1.785,-0.008,-0.145
10/4/2023 15:20:00.320,1.973,-0.043,-0.148
10/4/2023 15:20:00.330,2.219,-0.043,-0.18
10/4/2023 15:20:00.340,2.496,0.016,-0.23
10/4/2023 15:20:00.350,2.754,0.117,-0.324
10/4/2023 15:20:00.360,2.961,0.199,-0.434
10/4/2023 15:20:00.370,3.133,0.262,-0.516
10/4/2023 15:20:00.380,3.27,0.297,-0.555
10/4/2023 15:20:00.390,3.383,0.34,-0.555
10/4/2023 15:20:00.400,3.441,0.371,-0.523
10/4/2023 15:20:00.410,3.375,0.402,-0.441
10/4/2023 15:20:00.420,3.234,0.434,-0.32
10/4/2023 15:20:00.430,3.07,0.473,-0.191
10/4/2023 15:20:00.440,2.906,0.535,-0.102
10/4/2023 15:20:00.450,2.75,0.586,-0.047
10/4/2023 15:20:00.460,2.633,0.621,-0.055
10/4/2023 15:20:00.470,2.551,0.633,-0.117
10/4/2023 15:20:00.480,2.473,0.633,-0.215
10/4/2023 15:20:00.490,2.387,0.617,-0.316
10/4/2023 15:20:00.500,2.266,0.621,-0.395
10/4/2023 15:20:00.510,2.141,0.609,-0.43
10/4/2023 15:20:00.520,1.996,0.605,-0.441
10/4/2023 15:20:00.530,1.855,0.602,-0.426
10/4/2023 15:20:00.540,1.738,0.59,-0.395
10/4/2023 15:20:00.550,1.637,0.574,-0.344
10/4/2023 15:20:00.560,1.535,0.555,-0.266
10/4/2023 15:20:00.570,1.43,0.543,-0.184
10/4/2023 15:20:00.580,1.324,0.551,-0.105
10/4/2023 15:20:00.590,1.219,0.559,-0.031
10/4/2023 15:20:00.600,1.102,0.563,0.02
10/4/2023 15:20:00.610,1.004,0.57,0.043
10/4/2023 15:20:00.620,0.918,0.57,0.059
10/4/2023 15:20:00.630,0.832,0.574,0.063
10/4/2023 15:20:00.640,0.754,0.566,0.059
10/4/2023 15:20:00.650,0.68,0.566,0.051
10/4/2023 15:20:00.660,0.625,0.563,0.035
10/4/2023 15:20:00.670,0.578,0.578,0.016
10/4/2023 15:20:00.680,0.551,0.594,-0.004
10/4/2023 15:20:00.690,0.523,0.613,-0.023
10/4/2023 15:20:00.700,0.488,0.625,-0.047
10/4/2023 15:20:00.710,0.465,0.621,-0.063
10/4/2023 15:20:00.720,0.465,0.621,-0.063
10/4/2023 15:20:00.730,0.484,0.609,-0.066
10/4/2023 15:20:00.740,0.512,0.578,-0.063
10/4/2023 15:20:00.750,0.527,0.551,-0.055
10/4/2023 15:20:00.760,0.527,0.52,-0.043
10/4/2023 15:20:00.770,0.516,0.484,-0.027
10/4/2023 15:20:00.780,0.496,0.441,-0.012
10/4/2023 15:20:00.790,0.477,0.402,0
10/4/2023 15:20:00.800,0.457,0.375,0.004
10/4/2023 15:20:00.810,0.438,0.355,0.008
10/4/2023 15:20:00.820,0.426,0.352,0.02
10/4/2023 15:20:00.830,0.422,0.344,0.055
10/4/2023 15:20:00.840,0.441,0.336,0.102
10/4/2023 15:20:00.850,0.516,0.305,0.129
10/4/2023 15:20:00.860,0.629,0.234,0.152
10/4/2023 15:20:00.870,0.785,0.18,0.211
10/4/2023 15:20:00.880,0.969,0.215,0.281
10/4/2023 15:20:00.890,1.164,0.313,0.344
10/4/2023 15:20:00.900,1.371,0.402,0.43
10/4/2023 15:20:00.910,1.668,0.441,0.57
10/4/2023 15:20:00.920,2.098,0.391,0.695
10/4/2023 15:20:00.930,2.66,0.293,0.734
10/4/2023 15:20:00.940,3.305,0.316,0.73
10/4/2023 15:20:00.950,3.75,0.504,0.789
10/4/2023 15:20:00.960,4.004,0.684,0.922
10/4/2023 15:20:00.970,4.301,0.82,1.082
10/4/2023 15:20:00.980,4.594,0.98,1.238
10/4/2023 15:20:00.990,4.902,1.09,1.375
10/4/2023 15:20:01.000,5.305,1.086,1.395
10/4/2023 15:20:01.010,5.68,0.992,1.305
10/4/2023 15:20:01.020,5.781,0.906,1.211
10/4/2023 15:20:01.030,5.559,0.781,1.133
10/4/2023 15:20:01.040,5.102,0.574,1.051
10/4/2023 15:20:01.050,4.508,0.344,0.973
10/4/2023 15:20:01.060,3.875,0.117,0.895
10/4/2023 15:20:01.070,3.285,-0.094,0.793
10/4/2023 15:20:01.080,2.734,-0.297,0.68
10/4/2023 15:20:01.090,2.219,-0.484,0.582
10/4/2023 15:20:01.100,1.746,-0.641,0.473
10/4/2023 15:20:01.110,1.34,-0.711,0.32
10/4/2023 15:20:01.120,0.988,-0.723,0.102
10/4/2023 15:20:01.130,0.703,-0.734,-0.148
10/4/2023 15:20:01.140,0.469,-0.77,-0.371
10/4/2023 15:20:01.150,0.219,-0.836,-0.531
10/4/2023 15:20:01.160,-0.047,-0.891,-0.648
10/4/2023 15:20:01.170,-0.242,-0.918,-0.754
10/4/2023 15:20:01.180,-0.348,-0.91,-0.895
10/4/2023 15:20:01.190,-0.344,-0.863,-1.012
10/4/2023 15:20:01.200,-0.316,-0.824,-1.098
10/4/2023 15:20:01.210,-0.363,-0.805,-1.102
10/4/2023 15:20:01.220,-0.473,-0.789,-1.105
10/4/2023 15:20:01.230,-0.551,-0.754,-1.133
10/4/2023 15:20:01.240,-0.57,-0.703,-1.16
10/4/2023 15:20:01.250,-0.563,-0.664,-1.18
10/4/2023 15:20:01.260,-0.539,-0.633,-1.195
10/4/2023 15:20:01.270,-0.453,-0.59,-1.207
10/4/2023 15:20:01.280,-0.281,-0.504,-1.191
10/4/2023 15:20:01.290,-0.117,-0.414,-1.148
10/4/2023 15:20:01.300,-0.023,-0.324,-1.082
10/4/2023 15:20:01.310,-0.023,-0.258,-0.98
10/4/2023 15:20:01.320,-0.086,-0.234,-0.859
10/4/2023 15:20:01.330,-0.141,-0.242,-0.742
10/4/2023 15:20:01.340,-0.18,-0.227,-0.629
10/4/2023 15:20:01.350,-0.211,-0.176,-0.535
10/4/2023 15:20:01.360,-0.258,-0.105,-0.492
10/4/2023 15:20:01.370,-0.281,-0.02,-0.461
10/4/2023 15:20:01.380,-0.254,0.098,-0.379
10/4/2023 15:20:01.390,-0.156,0.313,-0.215
10/4/2023 15:20:01.400,-0.051,0.676,0.035
10/4/2023 15:20:01.410,0.004,1.129,0.293
10/4/2023 15:20:01.420,0.051,1.547,0.449
10/4/2023 15:20:01.430,0.094,1.824,0.418
10/4/2023 15:20:01.440,0.176,2.172,0.477
10/4/2023 15:20:01.450,0.328,2.754,0.52
10/4/2023 15:20:01.460,0.539,3.477,0.512
10/4/2023 15:20:01.470,0.77,4.102,0.648
10/4/2023 15:20:01.480,1.078,4.535,0.961
10/4/2023 15:20:01.490,1.363,4.484,1.301
10/4/2023 15:20:01.500,1.5,4.035,1.523
10/4/2023 15:20:01.510,1.535,3.469,1.582
10/4/2023 15:20:01.520,1.504,2.973,1.516
10/4/2023 15:20:01.530,1.469,2.57,1.457
10/4/2023 15:20:01.540,1.488,2.336,1.488
10/4/2023 15:20:01.550,1.625,2.441,1.535
10/4/2023 15:20:01.560,1.809,2.766,1.543
10/4/2023 15:20:01.570,1.891,2.945,1.441
10/4/2023 15:20:01.580,1.855,2.898,1.277
10/4/2023 15:20:01.590,1.738,2.703,1.121
10/4/2023 15:20:01.600,1.555,2.391,0.984
10/4/2023 15:20:01.610,1.332,2.035,0.852
10/4/2023 15:20:01.620,1.113,1.715,0.695
10/4/2023 15:20:01.630,0.898,1.438,0.543
10/4/2023 15:20:01.640,0.688,1.203,0.402
10/4/2023 15:20:01.650,0.496,1.008,0.285
10/4/2023 15:20:01.660,0.344,0.848,0.191
10/4/2023 15:20:01.670,0.223,0.68,0.117
10/4/2023 15:20:01.680,0.125,0.508,0.051
10/4/2023 15:20:01.690,0.082,0.348,-0.016
10/4/2023 15:20:01.700,0.086,0.203,-0.105
10/4/2023 15:20:01.710,0.07,0.047,-0.207
10/4/2023 15:20:01.720,-0.016,-0.125,-0.289
10/4/2023 15:20:01.730,-0.172,-0.309,-0.363
